trace_id,scenario_id,week,node,tool_called,status,latency_ms,tokens_in,tokens_out,cost_usd,retry_attempted,anomaly_type
TR00001,SC-001,2025-W07,detect_node,sl_target_lookup_tool,SUCCESS,377,274,342,0.0202,False,PROMOTION_SPIKE
TR00002,SC-001,2025-W07,detect_node,supplier_status_tool,TIMEOUT,,288,0,0,True,PROMOTION_SPIKE
TR00003,SC-001,2025-W07,detect_node,inventory_lookup_tool,API_ERROR,,634,0,0,False,PROMOTION_SPIKE
TR00004,SC-001,2025-W07,detect_node,supplier_status_tool,SUCCESS,2763,842,276,0.0301,False,PROMOTION_SPIKE
TR00005,SC-001,2025-W07,diagnose_node,supplier_status_tool,TIMEOUT,,770,0,0,True,PROMOTION_SPIKE
TR00006,SC-001,2025-W07,diagnose_node,promotion_calendar_tool,SUCCESS,2394,320,781,0.0293,False,PROMOTION_SPIKE
TR00007,SC-001,2025-W07,diagnose_node,inventory_lookup_tool,SUCCESS,2562,784,534,0.0205,False,PROMOTION_SPIKE
TR00008,SC-001,2025-W07,diagnose_node,inventory_lookup_tool,SUCCESS,2491,261,571,0.0263,False,PROMOTION_SPIKE
TR00009,SC-001,2025-W07,diagnose_node,what_if_simulation_tool,SUCCESS,2087,799,1078,0.02,False,PROMOTION_SPIKE
TR00010,SC-001,2025-W07,recommend_node,supplier_status_tool,SUCCESS,515,788,764,0.0277,False,PROMOTION_SPIKE
TR00011,SC-001,2025-W07,recommend_node,shipment_tracker_tool,SUCCESS,1359,823,299,0.0085,False,PROMOTION_SPIKE
TR00012,SC-001,2025-W07,recommend_node,what_if_simulation_tool,SUCCESS,802,700,1013,0.0048,False,PROMOTION_SPIKE
TR00013,SC-001,2025-W07,critique_node,what_if_simulation_tool,SUCCESS,1573,558,1167,0.0303,False,PROMOTION_SPIKE
TR00014,SC-001,2025-W07,critique_node,inventory_lookup_tool,SUCCESS,1285,685,283,0.0059,False,PROMOTION_SPIKE
TR00015,SC-001,2025-W07,escalate_node,shipment_tracker_tool,SUCCESS,1345,595,860,0.0041,False,PROMOTION_SPIKE
TR00016,SC-001,2025-W07,escalate_node,promotion_calendar_tool,SUCCESS,2682,319,1161,0.0058,False,PROMOTION_SPIKE
TR00017,SC-001,2025-W07,escalate_node,promotion_calendar_tool,SUCCESS,1194,607,950,0.0461,False,PROMOTION_SPIKE
TR00018,SC-001,2025-W07,escalate_node,promotion_calendar_tool,SUCCESS,2019,611,719,0.0445,False,PROMOTION_SPIKE
TR00019,SC-002,2025-W09,detect_node,weather_event_tool,SUCCESS,1881,567,929,0.048,False,SUPPLIER_DELAY
TR00020,SC-002,2025-W09,detect_node,promotion_calendar_tool,SUCCESS,799,437,627,0.0036,False,SUPPLIER_DELAY
TR00021,SC-002,2025-W09,detect_node,promotion_calendar_tool,SUCCESS,1256,488,158,0.0098,False,SUPPLIER_DELAY
TR00022,SC-002,2025-W09,detect_node,what_if_simulation_tool,SUCCESS,694,727,260,0.0245,False,SUPPLIER_DELAY
TR00023,SC-002,2025-W09,detect_node,sl_target_lookup_tool,SUCCESS,1810,608,957,0.0079,False,SUPPLIER_DELAY
TR00024,SC-002,2025-W09,diagnose_node,inventory_lookup_tool,TIMEOUT,,651,0,0,False,SUPPLIER_DELAY
TR00025,SC-002,2025-W09,diagnose_node,demand_data_tool,SUCCESS,599,200,459,0.0282,False,SUPPLIER_DELAY
TR00026,SC-002,2025-W09,diagnose_node,demand_data_tool,SUCCESS,468,412,920,0.01,False,SUPPLIER_DELAY
TR00027,SC-002,2025-W09,diagnose_node,what_if_simulation_tool,SUCCESS,2646,572,1121,0.0088,False,SUPPLIER_DELAY
TR00028,SC-002,2025-W09,diagnose_node,shipment_tracker_tool,SUCCESS,2147,695,788,0.007,False,SUPPLIER_DELAY
TR00029,SC-002,2025-W09,recommend_node,weather_event_tool,SUCCESS,2140,365,197,0.0126,False,SUPPLIER_DELAY
TR00030,SC-002,2025-W09,recommend_node,what_if_simulation_tool,SUCCESS,780,756,205,0.0386,False,SUPPLIER_DELAY
TR00031,SC-002,2025-W09,critique_node,inventory_lookup_tool,SUCCESS,1249,730,901,0.0457,False,SUPPLIER_DELAY
TR00032,SC-002,2025-W09,critique_node,supplier_status_tool,SUCCESS,2361,754,1179,0.0185,False,SUPPLIER_DELAY
TR00033,SC-002,2025-W09,critique_node,supplier_status_tool,SUCCESS,1160,610,614,0.0124,False,SUPPLIER_DELAY
TR00034,SC-002,2025-W09,critique_node,demand_data_tool,SUCCESS,294,486,1117,0.0152,False,SUPPLIER_DELAY
TR00035,SC-002,2025-W09,escalate_node,what_if_simulation_tool,SUCCESS,1673,282,601,0.0078,False,SUPPLIER_DELAY
TR00036,SC-002,2025-W09,escalate_node,what_if_simulation_tool,SUCCESS,1017,694,153,0.0255,False,SUPPLIER_DELAY
TR00037,SC-002,2025-W09,escalate_node,inventory_lookup_tool,SUCCESS,671,597,558,0.0255,False,SUPPLIER_DELAY
TR00038,SC-002,2025-W09,escalate_node,what_if_simulation_tool,SUCCESS,535,605,1098,0.0219,False,SUPPLIER_DELAY
TR00039,SC-003,2025-W11,detect_node,promotion_calendar_tool,SUCCESS,700,228,459,0.0308,False,WEATHER_DEMAND_SPIKE
TR00040,SC-003,2025-W11,detect_node,promotion_calendar_tool,SUCCESS,2685,810,1121,0.0339,False,WEATHER_DEMAND_SPIKE
TR00041,SC-003,2025-W11,diagnose_node,promotion_calendar_tool,SUCCESS,267,214,360,0.0277,False,WEATHER_DEMAND_SPIKE
TR00042,SC-003,2025-W11,diagnose_node,sl_target_lookup_tool,SUCCESS,977,416,207,0.0148,False,WEATHER_DEMAND_SPIKE
TR00043,SC-003,2025-W11,diagnose_node,supplier_status_tool,SUCCESS,2582,533,681,0.0286,False,WEATHER_DEMAND_SPIKE
TR00044,SC-003,2025-W11,diagnose_node,demand_data_tool,SUCCESS,1629,669,1011,0.0419,False,WEATHER_DEMAND_SPIKE
TR00045,SC-003,2025-W11,recommend_node,demand_data_tool,SUCCESS,1982,387,158,0.0395,False,WEATHER_DEMAND_SPIKE
TR00046,SC-003,2025-W11,recommend_node,promotion_calendar_tool,SUCCESS,2119,833,396,0.0292,False,WEATHER_DEMAND_SPIKE
TR00047,SC-003,2025-W11,recommend_node,shipment_tracker_tool,SUCCESS,614,773,266,0.0147,False,WEATHER_DEMAND_SPIKE
TR00048,SC-003,2025-W11,critique_node,inventory_lookup_tool,API_ERROR,,663,0,0,True,WEATHER_DEMAND_SPIKE
TR00049,SC-003,2025-W11,critique_node,inventory_lookup_tool,SUCCESS,1995,533,1185,0.0315,False,WEATHER_DEMAND_SPIKE
TR00050,SC-003,2025-W11,critique_node,weather_event_tool,SUCCESS,2032,720,1129,0.0269,False,WEATHER_DEMAND_SPIKE
TR00051,SC-003,2025-W11,critique_node,weather_event_tool,SUCCESS,2471,407,1066,0.0094,False,WEATHER_DEMAND_SPIKE
TR00052,SC-003,2025-W11,escalate_node,what_if_simulation_tool,SUCCESS,477,887,642,0.0231,False,WEATHER_DEMAND_SPIKE
TR00053,SC-003,2025-W11,escalate_node,weather_event_tool,SUCCESS,681,358,899,0.0097,False,WEATHER_DEMAND_SPIKE
TR00054,SC-004,2025-W14,detect_node,supplier_status_tool,SUCCESS,565,607,1147,0.0107,False,OVERSTOCK_CANCELLED_PO
TR00055,SC-004,2025-W14,detect_node,supplier_status_tool,SUCCESS,841,641,977,0.0189,False,OVERSTOCK_CANCELLED_PO
TR00056,SC-004,2025-W14,detect_node,what_if_simulation_tool,SUCCESS,557,574,189,0.0189,False,OVERSTOCK_CANCELLED_PO
TR00057,SC-004,2025-W14,diagnose_node,demand_data_tool,SUCCESS,1754,539,755,0.0271,False,OVERSTOCK_CANCELLED_PO
TR00058,SC-004,2025-W14,diagnose_node,supplier_status_tool,TIMEOUT,,286,0,0,False,OVERSTOCK_CANCELLED_PO
TR00059,SC-004,2025-W14,diagnose_node,promotion_calendar_tool,DATA_NOT_FOUND,,332,0,0,True,OVERSTOCK_CANCELLED_PO
TR00060,SC-004,2025-W14,diagnose_node,weather_event_tool,SUCCESS,1842,352,1162,0.0359,False,OVERSTOCK_CANCELLED_PO
TR00061,SC-004,2025-W14,diagnose_node,demand_data_tool,SUCCESS,930,635,298,0.0156,False,OVERSTOCK_CANCELLED_PO
TR00062,SC-004,2025-W14,recommend_node,weather_event_tool,SUCCESS,523,822,605,0.0061,False,OVERSTOCK_CANCELLED_PO
TR00063,SC-004,2025-W14,recommend_node,shipment_tracker_tool,SUCCESS,227,547,1005,0.0466,False,OVERSTOCK_CANCELLED_PO
TR00064,SC-004,2025-W14,critique_node,demand_data_tool,SUCCESS,2338,444,374,0.0486,False,OVERSTOCK_CANCELLED_PO
TR00065,SC-004,2025-W14,critique_node,promotion_calendar_tool,SUCCESS,1006,519,774,0.028,False,OVERSTOCK_CANCELLED_PO
TR00066,SC-004,2025-W14,critique_node,shipment_tracker_tool,SUCCESS,2228,888,514,0.0157,False,OVERSTOCK_CANCELLED_PO
TR00067,SC-004,2025-W14,critique_node,weather_event_tool,SUCCESS,331,215,187,0.0375,False,OVERSTOCK_CANCELLED_PO
TR00068,SC-004,2025-W14,escalate_node,supplier_status_tool,SUCCESS,2011,308,1035,0.0339,False,OVERSTOCK_CANCELLED_PO
TR00069,SC-004,2025-W14,escalate_node,sl_target_lookup_tool,SUCCESS,2255,515,590,0.0492,False,OVERSTOCK_CANCELLED_PO
TR00070,SC-004,2025-W14,escalate_node,promotion_calendar_tool,SUCCESS,1837,555,261,0.0423,False,OVERSTOCK_CANCELLED_PO
TR00071,SC-005,2025-W16,detect_node,weather_event_tool,SUCCESS,1944,367,263,0.007,False,DATA_ANOMALY_FLASH_SALE
TR00072,SC-005,2025-W16,detect_node,weather_event_tool,SUCCESS,2632,448,750,0.0051,False,DATA_ANOMALY_FLASH_SALE
TR00073,SC-005,2025-W16,diagnose_node,shipment_tracker_tool,SUCCESS,194,469,895,0.0482,False,DATA_ANOMALY_FLASH_SALE
TR00074,SC-005,2025-W16,diagnose_node,what_if_simulation_tool,SUCCESS,1181,235,783,0.0132,False,DATA_ANOMALY_FLASH_SALE
TR00075,SC-005,2025-W16,diagnose_node,what_if_simulation_tool,SUCCESS,1743,285,1122,0.0161,False,DATA_ANOMALY_FLASH_SALE
TR00076,SC-005,2025-W16,recommend_node,demand_data_tool,SUCCESS,552,470,333,0.0098,False,DATA_ANOMALY_FLASH_SALE
TR00077,SC-005,2025-W16,recommend_node,sl_target_lookup_tool,SUCCESS,272,506,773,0.0326,False,DATA_ANOMALY_FLASH_SALE
TR00078,SC-005,2025-W16,recommend_node,promotion_calendar_tool,SUCCESS,2623,598,817,0.0369,False,DATA_ANOMALY_FLASH_SALE
TR00079,SC-005,2025-W16,critique_node,promotion_calendar_tool,SUCCESS,359,725,1029,0.0375,False,DATA_ANOMALY_FLASH_SALE
TR00080,SC-005,2025-W16,critique_node,promotion_calendar_tool,SUCCESS,2325,716,182,0.0418,False,DATA_ANOMALY_FLASH_SALE
TR00081,SC-005,2025-W16,critique_node,supplier_status_tool,SUCCESS,528,231,235,0.0093,False,DATA_ANOMALY_FLASH_SALE
TR00082,SC-005,2025-W16,critique_node,inventory_lookup_tool,SUCCESS,1722,662,253,0.0325,False,DATA_ANOMALY_FLASH_SALE
TR00083,SC-005,2025-W16,critique_node,supplier_status_tool,SUCCESS,2184,470,156,0.0245,False,DATA_ANOMALY_FLASH_SALE
TR00084,SC-005,2025-W16,escalate_node,inventory_lookup_tool,SUCCESS,2334,267,1120,0.0149,False,DATA_ANOMALY_FLASH_SALE
TR00085,SC-005,2025-W16,escalate_node,weather_event_tool,SUCCESS,1141,410,622,0.0378,False,DATA_ANOMALY_FLASH_SALE
